Temperature - (Celsius), Year, Statistics, Country, ISO3
19.6808, 1950, Nov Average, India, IND
16.6448, 1950, Dec Average, India, IND
16.3448, 1951, Jan Average, India, IND
18.7578, 1951, Feb Average, India, IND
23.5879, 1951, Mar Average, India, IND
26.4644, 1951, Apr Average, India, IND
29.768, 1951, May Average, India, IND
29.1765, 1951, Jun Average, India, IND
27.5427, 1951, Jul Average, India, IND
26.5475, 1951, Aug Average, India, IND
26.6537, 1951, Sep Average, India, IND
26.0314, 1951, Oct Average, India, IND
21.4971, 1951, Nov Average, India, IND
17.608, 1951, Dec Average, India, IND
17.6306, 1952, Jan Average, India, IND
20.4086, 1952, Feb Average, India, IND
23.2004, 1952, Mar Average, India, IND
28.2732, 1952, Apr Average, India, IND
30.3686, 1952, May Average, India, IND
29.3929, 1952, Jun Average, India, IND
27.131, 1952, Jul Average, India, IND
26.1021, 1952, Aug Average, India, IND
26.3655, 1952, Sep Average, India, IND
24.8332, 1952, Oct Average, India, IND
20.3158, 1952, Nov Average, India, IND
17.9713, 1952, Dec Average, India, IND
16.6959, 1953, Jan Average, India, IND
20.575, 1953, Feb Average, India, IND
25.6718, 1953, Mar Average, India, IND
28.1874, 1953, Apr Average, India, IND
30.7085, 1953, May Average, India, IND
29.9672, 1953, Jun Average, India, IND
27.0709, 1953, Jul Average, India, IND
26.2682, 1953, Aug Average, India, IND
26.1659, 1953, Sep Average, India, IND
24.487, 1953, Oct Average, India, IND
20.328, 1953, Nov Average, India, IND
18.428, 1953, Dec Average, India, IND
16.2734, 1954, Jan Average, India, IND
20.2026, 1954, Feb Average, India, IND
23.8721, 1954, Mar Average, India, IND
28.444, 1954, Apr Average, India, IND
30.9137, 1954, May Average, India, IND
29.4685, 1954, Jun Average, India, IND
27.0109, 1954, Jul Average, India, IND
26.636, 1954, Aug Average, India, IND
25.8315, 1954, Sep Average, India, IND
23.2528, 1954, Oct Average, India, IND
19.9587, 1954, Nov Average, India, IND
17.4097, 1954, Dec Average, India, IND
17.0135, 1955, Jan Average, India, IND
19.7153, 1955, Feb Average, India, IND
24.771, 1955, Mar Average, India, IND
26.6475, 1955, Apr Average, India, IND
29.3861, 1955, May Average, India, IND
29.3311, 1955, Jun Average, India, IND
27.0252, 1955, Jul Average, India, IND
25.9874, 1955, Aug Average, India, IND
25.9574, 1955, Sep Average, India, IND
24.0346, 1955, Oct Average, India, IND
19.8191, 1955, Nov Average, India, IND
17.2194, 1955, Dec Average, India, IND
16.9986, 1956, Jan Average, India, IND
18.912, 1956, Feb Average, India, IND
24.0736, 1956, Mar Average, India, IND
28.2354, 1956, Apr Average, India, IND
30.51, 1956, May Average, India, IND
28.2187, 1956, Jun Average, India, IND
26.0049, 1956, Jul Average, India, IND
25.9418, 1956, Aug Average, India, IND
26.0064, 1956, Sep Average, India, IND
23.8482, 1956, Oct Average, India, IND
20.0689, 1956, Nov Average, India, IND
17.5515, 1956, Dec Average, India, IND
16.9511, 1957, Jan Average, India, IND
18.2016, 1957, Feb Average, India, IND
22.4369, 1957, Mar Average, India, IND
26.9566, 1957, Apr Average, India, IND
29.4411, 1957, May Average, India, IND
29.4146, 1957, Jun Average, India, IND
27.0703, 1957, Jul Average, India, IND
26.4268, 1957, Aug Average, India, IND
26.0568, 1957, Sep Average, India, IND
24.6648, 1957, Oct Average, India, IND
21.1972, 1957, Nov Average, India, IND
18.2006, 1957, Dec Average, India, IND
18.2791, 1958, Jan Average, India, IND
19.5952, 1958, Feb Average, India, IND
24.289, 1958, Mar Average, India, IND
28.7488, 1958, Apr Average, India, IND
30.344, 1958, May Average, India, IND
30.6291, 1958, Jun Average, India, IND
27.0445, 1958, Jul Average, India, IND
26.5766, 1958, Aug Average, India, IND
25.9763, 1958, Sep Average, India, IND
24.5244, 1958, Oct Average, India, IND
21.1715, 1958, Nov Average, India, IND
18.1825, 1958, Dec Average, India, IND
17.2469, 1959, Jan Average, India, IND
19.0106, 1959, Feb Average, India, IND
24.1938, 1959, Mar Average, India, IND
28.0393, 1959, Apr Average, India, IND
30.1118, 1959, May Average, India, IND
29.4073, 1959, Jun Average, India, IND
26.5956, 1959, Jul Average, India, IND
