Temperature - (Celsius), Year, Statistics, Country, ISO3
25.6748, 1928, Sep Average, Indonesia, IDN
25.8959, 1928, Oct Average, Indonesia, IDN
26.2209, 1928, Nov Average, Indonesia, IDN
25.9911, 1928, Dec Average, Indonesia, IDN
25.3836, 1929, Jan Average, Indonesia, IDN
25.3481, 1929, Feb Average, Indonesia, IDN
25.2912, 1929, Mar Average, Indonesia, IDN
25.8586, 1929, Apr Average, Indonesia, IDN
25.5646, 1929, May Average, Indonesia, IDN
25.236, 1929, Jun Average, Indonesia, IDN
24.8556, 1929, Jul Average, Indonesia, IDN
25.1342, 1929, Aug Average, Indonesia, IDN
25.4544, 1929, Sep Average, Indonesia, IDN
25.8069, 1929, Oct Average, Indonesia, IDN
26.0519, 1929, Nov Average, Indonesia, IDN
25.5354, 1929, Dec Average, Indonesia, IDN
25.8113, 1930, Jan Average, Indonesia, IDN
25.3992, 1930, Feb Average, Indonesia, IDN
25.6828, 1930, Mar Average, Indonesia, IDN
25.8081, 1930, Apr Average, Indonesia, IDN
26.202, 1930, May Average, Indonesia, IDN
25.3162, 1930, Jun Average, Indonesia, IDN
25.3271, 1930, Jul Average, Indonesia, IDN
25.6777, 1930, Aug Average, Indonesia, IDN
25.5424, 1930, Sep Average, Indonesia, IDN
25.9282, 1930, Oct Average, Indonesia, IDN
26.2205, 1930, Nov Average, Indonesia, IDN
25.9511, 1930, Dec Average, Indonesia, IDN
26.1574, 1931, Jan Average, Indonesia, IDN
25.9917, 1931, Feb Average, Indonesia, IDN
26.1726, 1931, Mar Average, Indonesia, IDN
26.1298, 1931, Apr Average, Indonesia, IDN
26.4319, 1931, May Average, Indonesia, IDN
25.979, 1931, Jun Average, Indonesia, IDN
25.3478, 1931, Jul Average, Indonesia, IDN
25.9276, 1931, Aug Average, Indonesia, IDN
25.6261, 1931, Sep Average, Indonesia, IDN
25.7816, 1931, Oct Average, Indonesia, IDN
26.1669, 1931, Nov Average, Indonesia, IDN
25.7432, 1931, Dec Average, Indonesia, IDN
25.6424, 1932, Jan Average, Indonesia, IDN
25.5854, 1932, Feb Average, Indonesia, IDN
25.5838, 1932, Mar Average, Indonesia, IDN
25.9676, 1932, Apr Average, Indonesia, IDN
26.0361, 1932, May Average, Indonesia, IDN
25.4242, 1932, Jun Average, Indonesia, IDN
25.077, 1932, Jul Average, Indonesia, IDN
25.2079, 1932, Aug Average, Indonesia, IDN
25.5208, 1932, Sep Average, Indonesia, IDN
26.0337, 1932, Oct Average, Indonesia, IDN
25.9739, 1932, Nov Average, Indonesia, IDN
25.798, 1932, Dec Average, Indonesia, IDN
26.0247, 1933, Jan Average, Indonesia, IDN
25.4074, 1933, Feb Average, Indonesia, IDN
25.6731, 1933, Mar Average, Indonesia, IDN
25.9414, 1933, Apr Average, Indonesia, IDN
26.2951, 1933, May Average, Indonesia, IDN
25.6369, 1933, Jun Average, Indonesia, IDN
25.2202, 1933, Jul Average, Indonesia, IDN
25.9525, 1933, Aug Average, Indonesia, IDN
25.3912, 1933, Sep Average, Indonesia, IDN
25.7186, 1933, Oct Average, Indonesia, IDN
25.8368, 1933, Nov Average, Indonesia, IDN
