"X","Temperature....Celsius.","Year","Statistics","Country","ISO3"
229,-27.457,1980," Jan Average"," Russia"," RUS"
230,-24.346,1980," Feb Average"," Russia"," RUS"
231,-18.791,1980," Mar Average"," Russia"," RUS"
232,-7.9098,1980," Apr Average"," Russia"," RUS"
233,2.23549,1980," May Average"," Russia"," RUS"
234,11.0489,1980," Jun Average"," Russia"," RUS"
235,14.4782,1980," Jul Average"," Russia"," RUS"
236,12.2444,1980," Aug Average"," Russia"," RUS"
237,5.83988,1980," Sep Average"," Russia"," RUS"
238,-4.7116,1980," Oct Average"," Russia"," RUS"
239,-18.766,1980," Nov Average"," Russia"," RUS"
240,-22.064,1980," Dec Average"," Russia"," RUS"
241,-22.302,1981," Jan Average"," Russia"," RUS"
242,-22.858,1981," Feb Average"," Russia"," RUS"
243,-17.215,1981," Mar Average"," Russia"," RUS"
244,-5.5378,1981," Apr Average"," Russia"," RUS"
245,3.11599,1981," May Average"," Russia"," RUS"
246,11.9883,1981," Jun Average"," Russia"," RUS"
247,14.6788,1981," Jul Average"," Russia"," RUS"
248,12.8667,1981," Aug Average"," Russia"," RUS"
249,5.22858,1981," Sep Average"," Russia"," RUS"
250,-4.3394,1981," Oct Average"," Russia"," RUS"
251,-16.375,1981," Nov Average"," Russia"," RUS"
252,-21.773,1981," Dec Average"," Russia"," RUS"
253,-28.597,1982," Jan Average"," Russia"," RUS"
254,-22.631,1982," Feb Average"," Russia"," RUS"
255,-18.554,1982," Mar Average"," Russia"," RUS"
256,-4.5179,1982," Apr Average"," Russia"," RUS"
257,2.79909,1982," May Average"," Russia"," RUS"
258,10.3689,1982," Jun Average"," Russia"," RUS"
259,14.8513,1982," Jul Average"," Russia"," RUS"
260,11.8125,1982," Aug Average"," Russia"," RUS"
261,5.55842,1982," Sep Average"," Russia"," RUS"
262,-7.4595,1982," Oct Average"," Russia"," RUS"
263,-18.053,1982," Nov Average"," Russia"," RUS"
264,-21.536,1982," Dec Average"," Russia"," RUS"
265,-23.03,1983," Jan Average"," Russia"," RUS"
266,-23.084,1983," Feb Average"," Russia"," RUS"
267,-14.885,1983," Mar Average"," Russia"," RUS"
268,-7.2638,1983," Apr Average"," Russia"," RUS"
269,2.45886,1983," May Average"," Russia"," RUS"
270,10.8864,1983," Jun Average"," Russia"," RUS"
271,14.6147,1983," Jul Average"," Russia"," RUS"
272,12.5131,1983," Aug Average"," Russia"," RUS"
273,6.36008,1983," Sep Average"," Russia"," RUS"
274,-4.5452,1983," Oct Average"," Russia"," RUS"
275,-14.732,1983," Nov Average"," Russia"," RUS"
276,-20.914,1983," Dec Average"," Russia"," RUS"
277,-23.023,1984," Jan Average"," Russia"," RUS"
278,-24.971,1984," Feb Average"," Russia"," RUS"
279,-16.385,1984," Mar Average"," Russia"," RUS"
280,-9.051,1984," Apr Average"," Russia"," RUS"
281,4.39014,1984," May Average"," Russia"," RUS"
282,11.3846,1984," Jun Average"," Russia"," RUS"
283,15.1648,1984," Jul Average"," Russia"," RUS"
284,11.4315,1984," Aug Average"," Russia"," RUS"
285,5.68868,1984," Sep Average"," Russia"," RUS"
286,-5.511,1984," Oct Average"," Russia"," RUS"
287,-19.702,1984," Nov Average"," Russia"," RUS"
288,-25.878,1984," Dec Average"," Russia"," RUS"
289,-28.582,1985," Jan Average"," Russia"," RUS"
290,-26.81,1985," Feb Average"," Russia"," RUS"
291,-17.611,1985," Mar Average"," Russia"," RUS"
292,-6.7724,1985," Apr Average"," Russia"," RUS"
293,1.91424,1985," May Average"," Russia"," RUS"
294,11.2284,1985," Jun Average"," Russia"," RUS"
295,13.8126,1985," Jul Average"," Russia"," RUS"
296,12.0764,1985," Aug Average"," Russia"," RUS"
297,5.73591,1985," Sep Average"," Russia"," RUS"
298,-4.6523,1985," Oct Average"," Russia"," RUS"
299,-15.845,1985," Nov Average"," Russia"," RUS"
300,-24.332,1985," Dec Average"," Russia"," RUS"
301,-26.501,1986," Jan Average"," Russia"," RUS"
302,-23.519,1986," Feb Average"," Russia"," RUS"
303,-15.732,1986," Mar Average"," Russia"," RUS"
304,-6.1309,1986," Apr Average"," Russia"," RUS"
305,2.24618,1986," May Average"," Russia"," RUS"
306,11.3632,1986," Jun Average"," Russia"," RUS"
307,14.6498,1986," Jul Average"," Russia"," RUS"
308,11.697,1986," Aug Average"," Russia"," RUS"
309,4.93978,1986," Sep Average"," Russia"," RUS"
310,-4.1714,1986," Oct Average"," Russia"," RUS"
311,-15.11,1986," Nov Average"," Russia"," RUS"
312,-25.841,1986," Dec Average"," Russia"," RUS"
313,-29.592,1987," Jan Average"," Russia"," RUS"
314,-24.597,1987," Feb Average"," Russia"," RUS"
315,-18.221,1987," Mar Average"," Russia"," RUS"
316,-8.5106,1987," Apr Average"," Russia"," RUS"
317,2.7483,1987," May Average"," Russia"," RUS"
318,9.93802,1987," Jun Average"," Russia"," RUS"
319,14.616,1987," Jul Average"," Russia"," RUS"
320,12.0574,1987," Aug Average"," Russia"," RUS"
321,4.90521,1987," Sep Average"," Russia"," RUS"
322,-5.2512,1987," Oct Average"," Russia"," RUS"
323,-21.499,1987," Nov Average"," Russia"," RUS"
324,-25.703,1987," Dec Average"," Russia"," RUS"
325,-25.216,1988," Jan Average"," Russia"," RUS"
326,-24.781,1988," Feb Average"," Russia"," RUS"
327,-16.339,1988," Mar Average"," Russia"," RUS"
328,-7.0688,1988," Apr Average"," Russia"," RUS"
329,3.18282,1988," May Average"," Russia"," RUS"
330,11.6508,1988," Jun Average"," Russia"," RUS"
