"","Temperature - (Celsius)","Year","Statistics","Country","ISO3"
"303",25.3402,1986,"Mar Average","Brazil","BRA"
"304",25.4543,1986,"Apr Average","Brazil","BRA"
"305",24.8123,1986,"May Average","Brazil","BRA"
"306",23.5017,1986,"Jun Average","Brazil","BRA"
"307",23.1556,1986,"Jul Average","Brazil","BRA"
"308",24.5756,1986,"Aug Average","Brazil","BRA"
"309",24.8271,1986,"Sep Average","Brazil","BRA"
"310",25.4298,1986,"Oct Average","Brazil","BRA"
"311",25.9494,1986,"Nov Average","Brazil","BRA"
"312",25.7236,1986,"Dec Average","Brazil","BRA"
"313",26.0044,1987,"Jan Average","Brazil","BRA"
"314",25.8282,1987,"Feb Average","Brazil","BRA"
"315",25.5581,1987,"Mar Average","Brazil","BRA"
"316",25.8034,1987,"Apr Average","Brazil","BRA"
"317",24.3017,1987,"May Average","Brazil","BRA"
"318",23.603,1987,"Jun Average","Brazil","BRA"
"319",24.6061,1987,"Jul Average","Brazil","BRA"
"320",24.403,1987,"Aug Average","Brazil","BRA"
"321",25.3391,1987,"Sep Average","Brazil","BRA"
"322",26.5269,1987,"Oct Average","Brazil","BRA"
"323",26.3107,1987,"Nov Average","Brazil","BRA"
"324",26.3364,1987,"Dec Average","Brazil","BRA"
"325",26.3194,1988,"Jan Average","Brazil","BRA"
"326",25.934,1988,"Feb Average","Brazil","BRA"
"327",26.2444,1988,"Mar Average","Brazil","BRA"
"328",25.2936,1988,"Apr Average","Brazil","BRA"
"329",24.2397,1988,"May Average","Brazil","BRA"
"330",23.0148,1988,"Jun Average","Brazil","BRA"
"331",22.6713,1988,"Jul Average","Brazil","BRA"
"332",24.4546,1988,"Aug Average","Brazil","BRA"
"333",25.6682,1988,"Sep Average","Brazil","BRA"
"334",26.0412,1988,"Oct Average","Brazil","BRA"
"335",25.765,1988,"Nov Average","Brazil","BRA"
"336",25.6627,1988,"Dec Average","Brazil","BRA"
"337",25.2576,1989,"Jan Average","Brazil","BRA"
"338",25.607,1989,"Feb Average","Brazil","BRA"
"339",25.4461,1989,"Mar Average","Brazil","BRA"
"340",25.1867,1989,"Apr Average","Brazil","BRA"
"341",23.7981,1989,"May Average","Brazil","BRA"
"342",23.5131,1989,"Jun Average","Brazil","BRA"
"343",22.5967,1989,"Jul Average","Brazil","BRA"
"344",24.2501,1989,"Aug Average","Brazil","BRA"
"345",24.9491,1989,"Sep Average","Brazil","BRA"
"346",25.3974,1989,"Oct Average","Brazil","BRA"
"347",25.8613,1989,"Nov Average","Brazil","BRA"
"348",25.5666,1989,"Dec Average","Brazil","BRA"
"349",25.8285,1990,"Jan Average","Brazil","BRA"
"350",25.7224,1990,"Feb Average","Brazil","BRA"
"351",26.0304,1990,"Mar Average","Brazil","BRA"
"352",25.8547,1990,"Apr Average","Brazil","BRA"
"353",24.2099,1990,"May Average","Brazil","BRA"
"354",23.4534,1990,"Jun Average","Brazil","BRA"
"355",22.8044,1990,"Jul Average","Brazil","BRA"
"356",24.2735,1990,"Aug Average","Brazil","BRA"
"357",24.6583,1990,"Sep Average","Brazil","BRA"
"358",26.2919,1990,"Oct Average","Brazil","BRA"
"359",26.479,1990,"Nov Average","Brazil","BRA"
"360",26.0116,1990,"Dec Average","Brazil","BRA"
"361",25.6309,1991,"Jan Average","Brazil","BRA"
"362",25.9331,1991,"Feb Average","Brazil","BRA"
"363",25.6195,1991,"Mar Average","Brazil","BRA"
"364",25.3122,1991,"Apr Average","Brazil","BRA"
"365",24.6685,1991,"May Average","Brazil","BRA"
"366",23.9559,1991,"Jun Average","Brazil","BRA"
"367",23.2381,1991,"Jul Average","Brazil","BRA"
"368",23.9559,1991,"Aug Average","Brazil","BRA"
"369",25.2297,1991,"Sep Average","Brazil","BRA"
"370",25.5777,1991,"Oct Average","Brazil","BRA"
"371",25.9442,1991,"Nov Average","Brazil","BRA"
"372",26.0139,1991,"Dec Average","Brazil","BRA"
"373",25.7539,1992,"Jan Average","Brazil","BRA"
"374",25.6635,1992,"Feb Average","Brazil","BRA"
"375",25.5218,1992,"Mar Average","Brazil","BRA"
"376",25.2168,1992,"Apr Average","Brazil","BRA"
"377",25.0763,1992,"May Average","Brazil","BRA"
"378",24.3627,1992,"Jun Average","Brazil","BRA"
"379",22.7497,1992,"Jul Average","Brazil","BRA"
